Task Name,Start,Finish,Duration (days)
Design & Planning,2025-04-13,2025-04-27,14
Frame & Harness Assembly,2025-04-27,2025-05-11,14
Wing Fabrication,2025-05-11,2025-05-25,21
Actuation Integration,2025-05-25,2025-06-08,14
Power & Cooling Setup,2025-06-08,2025-06-22,14
Control System Installation,2025-06-22,2025-07-06,14
Safety Systems & Testing,2025-07-06,2025-07-20,14
Field Trials & Tuning,2025-07-20,2025-08-03,21
Advanced Testing & Optimization,2025-08-03,2025-08-17,28
Final Validation and Demonstrations,2025-08-17,2025-08-31,28
